productid,productname,manufacturerid,composition,listprice,gender,category,color,description
1435,zxz wlb 2 sneakers,514,"Synthetic Upper, Textile Insole, Rubber Sole",65,M,sneakers,Black,"Die-cut EVA midsole provides lightweight cushioning. Durable rubber sole. Lightly padded tongue and molded collar provide support and a snug fit with soft, mesh  textile socklining. Self-tie lace closure with cloth logo applique on tongue. Shiny contrast "
1,2 eye premium boat shoe,717,Leather Upper and Rubber Sole,93.99,M,casual shoes,Brown,Contrast stitching. Genuine leather upper . Lace up front. Leather lining. Low top boat shoe design. Removable footbed with Sebago Energy Return heel pad. Rubber outsole
3,3 eye boat shoe,512,Man-Made Materials,55,M,casual shoes,Black,Contrast stitch. Cushioned insole. Faux leather upper. Lace up front. Low top boat shoe design. Rubber outsole. Signature logo on outer
4,35 lx sneakers,481,Leather and Man Made Materials,130,M,sneakers,Brown,Crocodile embossed mid top design. Designer logo on tongue and outer. Lace up closure. Non-marking outsole. Padded tongue and collar. Small logo tag and pull strap at heel. Tonal stitching
5,574 core plus sneakers,438,"Suede Upper, Textile Insole and Rubber Sole",74.95,M,sneakers,Black,Cushioned insole. Durable Reinforced outsole. Lightly padded collar and tongue. New Balance signature logo on tongue and outer. Self tie enclosure. Soft suede and mesh upper
6,574 core suede sneakers,438,"Suede Upper, Textile Insole and Rubber Sole",74.95,M,sneakers,Charcoal,Cushioned insole. Durable Reinforced outsole. Lightly padded collar and tongue. New Balance signature logo on tongue and outer. Self tie enclosure. Soft suede and mesh upper
7,574 wind breaker sneakers,438,"Textile Upper, Textile Insole, Rubber Sole",69.95,F,sneakers,Blue,Cushioned insole. Durable Reinforced outsole. New Balance signature logo on tongue and outer. Self tie enclosure. Soft nylon and mesh upper. Waterproof toecap
8,574 windbreaker sneakers,438,"Textile Upper, Textile Insole, Rubber Sole",74.95,M,sneakers,Black,Cushioned insole. Durable Reinforced outsole. New Balance signature logo on tongue and outer. Self tie enclosure. Soft nylon and mesh upper. Waterproof toecap
9,574 yacht club sneakers,438,Suede and Man Made Materials,74.95,M,sneakers,Black,Cushioned insole. Durable Reinforced outsole. Lightweight suede mesh upper. New Balance signature logo on tongue and outer. Self tie enclosure. Waterproof toecap
10,5th ave flat w/bow,691,Man-made materials,8.99,F,flats,Black,Bow on front. Lightly padded lining and footbed. Round toe. Slip on design. S sizing
11,6'' basic waterproof boots,240,Genuine leather and man-made materials,82.99,M,boots,Black,Cushioned footbed for comfort and ease. Embossed tread design for traction. Embroidered brand logo on side. Lug nut grommets. Padded ankle support. Pieced together genuine leather upper
12,6 inch premium scuffproof boots,240,Geuine Leather,110.99,M,boots,Wheat,Durable laces with waterproof hardware. Light glistening effect on exterior. Padded ankle feature for comfort. Rubber lug outsole for traction and durability. Waterproof leather upper with scuff proof protection
13,6'' premium waterproof boots,240,Genuine Leather and Man-Made Materials,122.99,M,boots,Black,"Direct-attach, seam-sealed waterproof construction keep feet dry in any weather. Durable laces with Taslan® fibers and rustproof hardware for long-lasting wear. Embossed Timberland tree logo on the side. Footbed and shaft of the boot is lined with soft le"
14,"6"" 2.0 cupsole sneakers",240,"Leather Upper, Textile Insole, Rubber Sole",120,M,sneakers,Grey,Boot style. Contrasting stitch. Lace up closure with metal eyelets. Padded collar. Premium nubuck leather upper. Rubber outsole
15,"6"" premium boots",240,Genuine Leather and Man-Made Materials,149.99,M,boots,Maroon,"Abrasive outsole for durability and traction. Designer logo on the tongue and side. Direct-attach, seam-sealed waterproof construction keep feet dry in any weather. Durable laces with Taslan® fibers and rustproof hardware for long-lasting wear. Embossed T"
19,adela boot w/faux fur,691,Man made materials,16.99,F,boots,Black,Faux interior fur lining. Lace-up design with side zipper. Reinforced rubber toe and heel. Roll-down top option
88,akademiks cap toe hightop sneaker,512,Man made materials,17.99,M,sneakers,Black,Classic high top design. Embossed logo. Full lace up closure. Padded insole for comfort. Synthetic upper
16,620 sneakers,438,"Synthetic upper, textile and man made materials",80,M,sneakers,Green,Cushioned insole. Durable Reinforced outsole. New Balance signature logo on tongue and outer. Self tie enclosure. Soft suede and mesh upper. Tone on tone stitch. Waterproof toecap
17,75 fitness hightop sneaker,568,"Leather Upper, Textile Insole, Rubber Sole",59.99,M,sneakers,Black,Classic athletic basketball-inspired profile. Contrasting stitching detail at sides. Foldover tongue. Herringbone patterned rubber sole for traction. Herringbone patterned rubber sole for traction. Pieced leather upper. Self tie lace closure. Self tie lac
18,"8"" premium boot",240,Genuine Leather and man made material,121.99,M,boots,Wheat,"430 gram polyester insulation in  quarter panel for all season comfort. 8"" boot shaft. Double-barreled padded system; thin sheet of polyurethane foam form-fitted inside vamp and toe. Durable laces with Taslan® fibers and rustproof hardware for long-lastin"
20,adi ease surf sneakers,514,Man Made Materials,55,M,sneakers,Black,A rubber outsole and synthetic leather 3-Stripes. Comfortable textile lining. Contrast stitching and stripe details. Herringbone-pattern outsole for grip. Lightweight naturally breathable canvas upper. Textured foxing around outsole
21,adi high ext sneakers,514,Synthetic Upper and Rubber Sole,90,M,sneakers,Black,Comfortable textile lining and a cushioned footbed for all-day comfort. Comfortable textile lining and a cushioned footbed for all-day comfort. Full grain leather upper with perforated underlay and patterned leather overlays. Fully-padded collar. Herringb
22,adi high ext w sneakers,514,"Leather Upper, Textile Insole, Rubber Sole",85,F,sneakers,White,Comfortable textile lining and a cushioned footbed for all-day comfort. Features original adiRise binding for added support. Full grain leather upper with perforated underlay and patterned leather overlays. Fully-padded collar. Herringbone-pattern rubber 
23,adi mc lo sneakers,514,"Canvas, Suede and Man Made Materials",65,M,sneakers,Black,Canvas uppers with suede heel counter. Lightly padded collar and tongue. Low profile rubber midsole. Low top design. Screen printed 3-Stripes detail with classic Trefoil logo on heel. Textile lining and a cushioned footbed for all-day comfort. Traditional
24,adidas chic hi w sneakers,514,Canvas and Man Made Materials,80,F,sneakers,Grey,Floral print over canvas upper. High top profile. Lace-less design. Leather toe cap. Rubber sole. Signature Adidas 3 stripes along side
25,adidas glc sneakers,514,Leather and Man Made Materials,100,F,sneakers,Pink,"Leather accents at vamp and collar. Leather and textile upper. Mesh lower tongue. Multi-colored high top. Patent leather toe and heel. Rubber sole. Thick rubber side pieces that double as lace loops. Tonal stitching. Traingle pattern nylon ankle, heel and"
26,adidas good luck charm sneakers,514,Leather and Man Made Materials,110,F,sneakers,Pink,Leather accents at vamp and collar. Leather and textile upper. Mesh lower tongue. Multi-colored high top. Patent leather toe and heel. Rubber sole. Rubber sole with splatter detail. Thick rubber side pieces that double as lace loops. Tonal stitching. Trai
27,adidas mc lo w sneakers,514,"Textile Upper, Textile Insole, Rubber Sole",65,F,sneakers,Black,Cushioned insole. Cushioned insole. Low top design. Low top design. Metallic Zebra/Leopard print design throughout. Self-tie lace closure. Self-tie lace closure. True to size. True to size. US Sizing. Zebra/leopard print design throughout
28,adidas mens rose 2.0 sneakers,514,"Synthetic Upper, Textile and Man Made Materials",110,M,sneakers,White,Cushioned insole. EVA Midsole. Lace and ankle strap. Non marking rubber outsole. Padded collar and tongue. Seamlessly bonded SPRINTWEB upper construction. Synthetic leather upper
29,adidas skate adi court sneakers,514,"Canvas, Leather and Man Made Materials",60,M,sneakers,Blue,Canvas upper with leather trim at ankle. Cushioned insole. Designer logo on tongue and heel. Flat rubber sole. Low top design. Self tie lace closure
30,adidas skate adi ease surf sneakers,514,"Textile Upper, Textile Insole, Rubber Sole",55,M,sneakers,Cream,Canvas upper. Contrasting signature 3-stripe logo on outer. Designer logo on tongue. Flat rubber sole. Low top design. Self tie lace closure
31,adidas skate jonbee sneakers,514,"Textile Upper, Textile Insole, Rubber Sole",65,M,sneakers,Cream,Canvas upper. Comfortable textile lining. Contrast stitch. Contrasting signature 3-stripe logo on outer. Designer logo on tongue and heel. Low top design. Nautical-inspired details. Self tie lace closure with metal eyelets. Vulcanized rubber outsole
32,adidas skate seeley sneakers,514,Canvas Upper and Rubber Sole,52.99,M,sneakers,Blue,Canvas upper. Contrasting signature 3-stripe logo on outer. Designer logo on tongue and heel. Flat rubber sole. Low top design. Self tie lace closure
33,adidas tech street mid sneakers,514,"Leather Upper, Textile Insole, Rubber Sole",120,M,sneakers,Grey,Comfortable textile lining and a well-padded footbed for all-day comfort. Contrast 3 Stripes on sides with an old school Trefoil logo on tongue. Embossed 3 Stripes logo details at heel area. EVA midsole. Full grain leather uppers with contrast TZU heel an
34,adidas ts lite amr trophy hunter sneakers,514,"Synthetic Upper, Textile and Man Made Materials",160,M,sneakers,Yellow,All-over leopard print. Black nubuck accents. Constructed with a lightweight and durable anodized outer shell. Gold rubber outsole. Translucant midsole. Trefoil logo on the tongue
35,adilette sandals,514,Man Made Materials,30,M,sandals,Black,Nonadjustable fabric backed strap. Non-slip molded outsole with orthopedic footbed. One piece PVC upper with three stripes. Polyurethane outsole for traction. Water-resistant construction
36,adine ankle bootie w/zipper buckle,691,Man-Made Materials,45.99,F,boots,Black,1 inch heel. Ankle height boots. Buckle and zipper detail design. Faux leather upper. Rubber outsole for traction. Zipper enclosure
37,adio sydney sneakers,980,Canvas Upper and Rubber Sole,25.99,M,sneakers,Black,Contrast stitch. Durable rubber sole. Lace-up closure. Logo on tongue and outer. Pieced canvas construction. Rounded toe-box
38,adipure trainer sneakers,514,Man-made materials,56.99,M,sneakers,"Black,Red","adipure midsole/outsole tooling enables superb, responsive feeling of ground contact. Flex-grooves in the toes for increased flexibility. Flexible non-marking rubber outsole for traction and durability. OrthoLite® sockliner provides long-lasting cushion w"
39,adissage fade camo slide sandals,514,Man-Made Materials,35,M,sneakers,Black,"Hook and loop adjustable single-bandage upper for easy on-and-off with a custom fit. Non-marking, injected EVA outsole for lightweight comfort. Tonal camouflage print on footbed. TPR footbed with massage nubs for serious comfort"
40,adissage fade sandals,514,Man-Made Materials,35,M,sandals,White,"Hook and loop adjustable single-bandage upper for easy on-and-off with a custom fit. Non-marking, injected EVA outsole for lightweight comfort. TPR footbed with massage nubs for serious comfort"
41,adissage fade slide sandals,514,Man-Made Materials,35,M,sneakers,"Black,Red","Hook and loop adjustable single-bandage upper for easy on-and-off with a custom fit. Non-marking, injected EVA outsole for lightweight comfort. TPR footbed with massage nubs for serious comfort"
42,adissage sandals,514,"Synthetic, Textile and Man made materials",30,M,sandals,Black,3-Stripes branding. Adjustable PU strap for a custom secure fit. EVA footbed with massage nubs provides superior comfort with every step. Polyurethane outsole for traction
43,adissage sc sandals,514,Man-Made Materials,35,M,sandals,Black,"Adjustable, hook-and-loop closure strap. Injected lightweight EVA outsole. Supersoft UltraFOAM+ EVA footbed provides quick drying comfort. Synthetic material mix upper"
44,adissage w slide sandals,514,Man Made Materials,24.99,F,sandals,Black,3-Stripes branding. Adjustable PU strap. EVA footbed with massage nubs. Hook-and-loop closure. Polyurethane outsole for traction
45,adizero f50 2 m sneakers,514,"Synthetic and Textile Upper, Textile Insole, Rubber Sole",46.99,M,sneakers,Black,"Air mesh upper for maximum ventilation; SPRINTWEB provides stitchless, lightweight support; ADIPRENE®+ in the forefoot maintains propulsion and efficiency. FORMOTION® adapts to the ground to ensure the smoothest, most comfortable run possible. miCoach sen"
46,aero mid athletic sneaker,573,"Leather Upper, Textile Insole, Rubber Sole",30.99,M,sneakers,Black,Durable rubber sole. Hi-top design. Metal logo embellishments on laces and  tongue. Patent leather trim on side panels. Pieced patent leather construction
47,af roll top black boots,240,"Leather and Textile Upper, Textile Insole and Rubber Sole n",105.99,M,boots,Black,Durable laces with Taslan® nylon fibers for long-lasting wear. Premium full-grain and nubuck leathers for comfort and long-lasting wear. Quarter panel can be worn up or rolled down. Rubber lug outsole for durability. Timberland's exclusive anti-fatigue te
48,after hours peep toe sling back,691,Man-made materials,11.99,F,heels,Black,"5"" Wedge heel with 2"" elevated platform toe. Adjustable ankle strap. Animal print design. Peep toe design. Rubber outsole for grip. Synthetic upper"
49,agneta lace up sneaker w/buckle,691,Man-Made Materials,42.99,F,sneakers,Black,"3"" inch wedge heel with rubber sole for traction. Fold over upper with snap button closure. Pieced synthetic leather construction. Self-tie lace closure with metal eyelets. Strap with metal buckle closure along backside of ankle"
50,ah athletic mid sneakers,885,Man-Made Materials,57.99,M,sneakers,Black,"Comfortable padded synthetic suede collar with rubber logo applique. Durable rubber sole. Hi top design. Lace up closure. Lightweight, non-marking EVA Helium Tech Future outsole. Molded foam insole with additional heel support. Non marking EVA Future sole"
51,ah future lo,885,Man-Made Materials,54.99,M,sneakers,Tan,"Comfortable padded synthetic suede collar. Lightweight, non-marking EVA Helium Tech Future outsole. Molded foam insole with additional heel support. Self-tie lace closure with embossed AH logo on tongue. Stylish, pieced low top design. Synthetic smooth gr"
52,ah propulsion mid sneakers,885,Man-Made Materials,61.99,M,sneakers,Orange,"Comfortable padded woven nylon collar with strap across top of tongue. Lightweight, non-marking EVA Helium Tech Future outsole. Molded foam insole with additional heel support. Self-tie lace closure with printed AH logo on tongue and strap at vamp. Soft a"
53,ahanu boots,691,Leather and man made materials,20.99,F,boots,Black,All-over studded fringe detail. Cushioned insole with arch support. Pieced constructed moc style boot. Synthetic upper. Zip up back closure
54,air flight 89 sneakers,630,Leather and Man-Made materials,100,M,sneakers,Black,"Classic nubuck upper. Contrast embroidered ""Air Flight"" on tongue. Contrast embroidered ""Air Flight"" on tongue. Cut and sewn Swoosh logo applique on outer. Cut and sewn Swoosh logo applique on outer. Durable rubber outsole in a herringbone tread-pattern f"
55,air force 1 07 sneakers,630,"Leather Upper, Textile Insole, Rubber Sole",94,M,sneakers,Black,"Low top design with padded ankle collar for comfort. Perforated detail throughout. Pieced constructed upper. Signature tone-on-tone Nike swoosh at side panels. Thick sole with embossed ""Air"" logo at outer sides"
56,air force 1 '07 sneakers,630,Leather and Man-Made Materials,88,M,sneakers,Black,Locked in-laces. Low top design with padded ankle collar for comfort. Perforated toe front detail. Pieced constructed upper. Polyurethane midsole with full-length Air-Sole unit for shock absorption and a smooth ride. Premium leather upper. Rubber outsole 
57,air force 1 mid '07,630,Genuine leather and man-made materials.,98,M,sneakers,White,Classic style with Nike Swoosh at sides. Metal lacelock. Perforated ventilation on toe. Velcro strap with embroidered logo
58,air force 1 mid sneakers,630,"Leather Upper, Textile Insole, Rubber Sole",100,M,sneakers,Black,Classic style with Nike Swoosh at sides. Metal lacelock. Metal tag on laces. Perforated ventilation on toe. Velcro strap with embroidered logo
59,air force 1 sneakers,630,"Leather Upper, Textile Insole, Rubber Sole",90,M,sneakers,Brown,"Low top design with padded ankle collar for comfort. Perforated detail throughout. Pieced constructed upper. Pieced construction upper. Signature Nike swoosh at side panels. Signature tone-on-tone Nike swoosh at side panels. Thick sole with embossed ""Air"""
60,air force max 2013 sneakers,630,Leather Upper and Rubber Sole,145,M,sneakers,White,Cushioned insole. Lace up closure with velcro strap. Leather upper. Molded panels for added support. Rubber outsole for traction. Signature nike swoosh on sides. Vac-Tech composition and a Max Air unit for support and shock absorption
61,air force one low,630,Leather and Man-made materials,90,M,sneakers,White,Cushioned foot bed. Perforated toe box. Ridged sole for traction. Self tie lace closure with embossed accessory charm. Smooth grain leather on panels. Tone-on-tone swoosh on outsole and instep
62,air max 1 essential sneakers,630,"Leather and Textile Upper, Textile Insole and Rubber Sole",100,M,sneakers,Grey,Combination leather and textile upper for durability and a comfortable fit. Full-length PU midsole with visible Air-Sole unit in heel for maximum cushioning and impact protection. Rubber outsole with Waffle pattern for traction and durability
63,air max 2006 leather sneakers,630,"Leather and Synthetic Upper, Textile Insole, Rubber Sole",120.99,M,sneakers,Silver,Full length maximum volume Air Max  midsole unit provides unparalleled cushioning. Leather and synthetic upper provides optimal support and durability. Nike+ ready to track fitness progress. Rubber sole for traction. Self-tie lace closure for perfect fit
64,air max 97 hyperfuse sneakers,630,Leather and man made materials,106.99,M,sneakers,Grey,Full length maximum volume Air Max  midsole unit provides unparalleled cushioning. Leather and synthetic upper provides optimal support and durability. Nike+ ready to track fitness progress. Rubber sole for traction. Self-tie lace closure for perfect fit
65,air max challenge sneakers,630,Leather and Man Made Materials,77.99,M,sneakers,White,"GDR rubber with multi-pattern design offers multi-surface traction and support. Leather upper with perforations, improves breathability. Mesh in upper to enhance ventilation and breath-ability. Phylon midsole with midfoot shank improves stability. Retro i"
66,air max command leather sneakers,630,Leather Upper and Rubber Sole,106,M,sneakers,Black,Full-length PU midsole. Lace-up front with lightly padded collar. Leather Upper. Max Air heel unit for maximum impact protection and cushioning. Max Air in the heel for impact protection and cushioning. Mesh upper with leather overlays for comfort and sup
67,air max command sneakers,630,"Leather and Textile Upper, Textile Insole and Rubber Sole",85.99,M,sneakers,Black,Full-length PU midsole. Max Air in the heel for impact protection and cushioning. Mesh upper with leather overlays for comfort and support. Self tie lace closure. Signature swoosh on side panels. Waffle pattern at rubber outsole for traction and durabilit
68,air max court ballistec sneakers,630,Man Made Materials,52.99,M,sneakers,Black,Lace-up enclosure. Low top design. Mesh tongue provides breathability. Non-marking solid rubber outsole. Phylon midsole with Max Air unit in heel. Synthetic upper
69,air max double threat bb sneakers,630,"Synthetic Upper, Textile Insole, Rubber Sole",90,M,sneakers,Black,"Fabric lining, cushioning insole. Lace-up front, padded collar. Rubber traction outsole. Synthetic and mesh upper in an athletic basketball style. Visible Max Air unit in the heel provides lightweight cushioning"
70,air max ltd sneakers,630,Leather and Man-Made materials,116,M,sneakers,Grey,Durable rubber sole for traction. Flat rubber sole. Leather exterior. Low top design. Max Air unit in the heel for impact protection and cushioning. Phylon midsole for lightweight cushioning. Plastic trims throughout. Self tie lace closure
71,air max posterize sneakers,630,Man Made Material,62.99,M,sneakers,"Black,Orange",Mesh tongue. Mid top design. Padded ankle and tongue for extra comfort. Perforated  detail on outer. Perforated toe box. Pieced construction. Self tie lace closure
72,air max run lite 4 sneakers,630,Synthetic upper and rubber sole,71.99,M,sneakers,Red,"Environmentally preferred rubber modified Waffle outsole provides durable traction. Deep flex grooves improve flexibility. Full-length Phylon midsole provides soft, lightweight cushioning, combined with new ramp Air-Sole unit for enhanced structural suppo"
73,air max tailwind 96 sneakers,630,"Leather and Textile Upper, Textile Insole and Rubber Sole",102.99,M,sneakers,White,Heel provides cushioning and impact protection. Leather overlays for support and durability. Mesh in upper and ankle area to enhance ventilation and breath-ability. Non preassurized forefoot and heel air sole unit. Rubber outsole with waffle pattern for t
74,air max tr 2k12 sneakers,630,Synthetic upper and rubber sole,75.99,M,sneakers,Black,Full-length Phylon midsole with Air-Sole unit in the heel for responsive cushioning and impact protection. Mesh and synthetic upper for breathability and lightweight comfort. Padded collar and tongue offers an enhanced fit. Rubber outsole with delta-shape
75,air max uptempo fuse 360 sneakers,630,Synthetic upper and rubber sole,156.99,M,sneakers,Black,"Herringbone pattern on the outside sole for traction. Lightweight and seamless Hyperfuse upper. Molded synthetic leather upper. Pull straps on the heel/tongue, inner sleeve. Visible 360 Max Air unit"
76,air monarch iv sneakers,630,"Leather and Textile Upper, Textile Insole and Rubber Sole",35.99,M,sneakers,White,Finger pull tab on heel. Full length Phylon midsole for comfort and support. Leather and mesh upper for stability and breathability. Rubber sole with herringbone pattern and sipes for traction and pinpoint stability. Self tie lace closure. Signature swoos
77,air pegasus +29 sneakers,630,"Synthetic and Textile Upper, Textile Insole, Rubber Sole",86.99,M,sneakers,Blue,"A breathable engineered mesh upper that features strategically placed overlays and soft yet strong 3D screen detail for comfort and support. All new full-length Cushlon foam works with a Nike Zoom unit in the heel for soft, responsive cushioning and great"
78,air relentless 2 sneakers,630,"Synthetic and Textile Upper, Textile Insole, Rubber Sole",54.99,M,sneakers,Red,"Breathable mesh upper for comfort. Durable synthetic overlays for a supportive, lockdown fit. Full-length Phylon midsole for lightweight cushioning. Nike Air unit in the heel for cushioning. Outsole flex grooves for enhanced flexibility and a smooth, effi"
79,air trainer 1 mid premium sneakers,630,Leather and man made materials,63.99,M,sneakers,White,Contrast embroidered Nike logo on tongue. Lightly padded interior for extra comfort. Premium leather upper. Signature Nike logo on outer. VELCRO ® brand fastener strap for an adjustable fit
80,air trainer 1 mid sneakers,630,"Leather Upper, Textile Insole, Rubber Sole",76.99,M,sneakers,Navy,"Contrast embroidered Nike logo on tongue. Cross-training mid top profile. Leather upper with adjustable midfoot strap for a snug, comfortable fit. Lightly padded interior for extra comfort. Perforations at toe for enhanced ventilation. Polyurethane midsol"
81,air trainer sc high sneakers,630,Leather and Man Made Materials,116,M,sneakers,White,"Bubble accent on tread for comfort wear. Embossed Nike logo on heel. Nubuck applique along heel and sides. Perforated detail all-over. Secure, self-tie lace-up design"
126,anne heel w/animal print detail,691,Man Made Materials,9.99,F,heels,Black,"Allover animal print pattern. Chunky 5.5"" heel with 2"" elevated platform toe. Closed toe design. Synthetic exterior"
127,anne peep toe platform sandal,691,Man-made materials,27.99,F,sandals,Orange,"Adjustable ankle strap. Chunky 5"" heel with 2"" elevated platform toe. Studded details lining heel"
138,arial hightop sneaker,980,Textile and man-made materials,25.99,M,sneakers,Black,Ankle strap. Hightop design. Self tie closure. Striped rubber soles
82,air trainer sc sneakers,630,"Leather Upper, Textile Insole, Rubber Sole",82.99,M,sneakers,White,Exposed shock support. Maximum cushioning and impact protection. Perforated toe and side panels. Signature Nike logo on back heel. Velcro strap and self tie lace closure. Waffle pattern at outsole for versatile traction
83,air velocitrainer sneakers,630,"Synthetic Upper, Textile Insole, Rubber Sole",60.99,M,sneakers,White,Breathable and lightweight mesh with supportive overlays for great lockdown. Full-length Phylite midsole with encapsulated heel air unit provides great underfoot cushioning. Phylite and solid rubber combine to make a lightweight outsole with great flexibi
84,air waffle trainer leather sneakers,630,Leather Upper and Rubber Sole,80,M,sneakers,Black,"Breathable mesh lining and a cushioned insert provides impact protection. Durable leather uppers with leather overlays add support and comfort. Full-length, two-tone EVA midsole for supportive cushioning. ike Air Unit in the heel provides excellent cushio"
85,air waffle trainer sneakers,630,"Leather, Textile and Man Made Materials",72.99,M,sneakers,Green,Breathable mesh upper with leather overlays. EVA midsole. Lace up closure. Low top design. Mesh inside lining. Mesh upper with leather overlays. Non-marking rubber outsole. Padded ankle lining and tongue for added comfort. Padded tongue and collar. Rubber
86,akademiks alto sneaker,512,Man Made Material,13.99,M,sneakers,Black,Fully lined and padded interior. Logo on tongue and outer. Low top design. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
87,akademiks basic lowtop sneaker,512,All man made materials,14.99,M,sneakers,Black,Fully lined and padded interior. Logo on tongue and outer. Low top design. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
89,akademiks core lowtop sneaker,512,Man-made materials,16.99,M,sneakers,Black,Fully lined and padded interior. Logo on heel. Logo on tongue and side panel. Low top design. Pieced material design. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
90,akademiks flare high top sneaker,512,All man made materials,20.99,M,sneakers,Brown,Classic high top design. Embossed logo on tongue and outer. Full lace up closure. Padded insole for comfort. Synthetic upper
91,akademiks houndstooth hightop sneaker,512,Man Made Material,20.99,M,sneakers,Black,High top design. Houndstooth lined and padded interior. Logo on tongue. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
92,akademiks low sneaker,512,Man-made materials,22.99,M,sneakers,Black,Fully lined and padded interior. Logo on tongue and outer. Low top design. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
93,akademiks mud guard lowtop sneaker,512,Man-Made Materials,49.99,M,sneakers,Black,Contrast stitch. Faux leather upper. Fully lined and padded interior. Logo on tongue and outer. Low top design. Pieced material design and perforated detail. Self tie lace closure
94,akademiks rolodex hightop sneaker,512,All man made materials,14.99,M,sneakers,Black,Fully lined and padded interior. High top design. Logo on tongue and outer. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
142,asics gt-xl sneakers,980,Synthetic Upper and Rubber Sole,53.99,M,sneakers,Black,Cushioned insole. Durable rubber sole. EVA midsole. Lace up closure. Soft synthetic leather upper
143,asimo ankle boot,691,Man-Made Materials,18.99,F,boots,Black,Buckle detail at ankle. Cushioned flannel insole. Pull on style. Rounded toe. Rubber outsole with 1.5 inch heel. Synthetic upper
145,assault sneakers,684,Suede and Man Made Materials,43.99,M,sneakers,Black,Cushioned insole. Firm gumshoe tread. Flat laces. Rubber sole. Suede exterior
95,akademiks rolodex lowtop sneaker,512,Man-made materials,22.99,M,sneakers,"Black,Red",Fully lined and padded interior. Logo on heel. Mid top design. Pieced material design and perforated detail. Self tie lace closure. Synthetic upper
96,akademiks skate sneaker,512,Man-made materials,19.99,M,sneakers,Black,Cushioned interior for comfort. Logo applique on sides and on heel. Mid top design. Pieced material design and perforated detail. Self tie lace closure. Skate technology with wide fit
97,akademiks true classic sneaker,512,Canvas Upper and Rubber Sole,39.99,M,sneakers,Black,Fully lined and padded interior. Logo on tongue and outer. Low top canvas upper. Pieced material design and perforated detail. Self tie lace closure with metal eyelets. Tone on tone stitch
98,alaina sherpa line bootie,691,Man Made Material,17.99,F,boots,Black,"4 inch wedge heel. 4"" wooden wedge heel. Ankle boot style. Faux velvet exterior with fold over design. Fold over shaft, with sherpa lined interior. Lace up enclosure"
99,alaina tall wedge bootie,691,All man made materials,18.99,F,boots,Grey,"4.5"" Wedge. Fold over detail at top of shaft. Over-the-knee cut. Synthetic suede upper. Zipper closure"
100,alba sandal w/lucite straps studs,691,Man Made Materials,26.99,F,wedges,Black,"4.5"" heel with 1"" platform. Strap and metal buckle with studded detail at ankle. Stylish open-toe wedge shoe. Synthetic leather strap. Transparent lucite material"
101,albury ii sneakers,691,Leather Upper and Rubber Sole,15.99,F,sneakers,Black,Designer logo on heel and tongue. Rubber outsole. Self tie lace closure. Tone-on-tone stitching
102,alder leather boots,692,Leather and man made materials,54.99,M,boots,Black,"Custom laces. Heavy duty EVA rubber sole. Heavy nylon canvas, an abrasion rubber upper. Low top hiking boots. Metal speed lacing system"
103,alicia keys freestyle wedge limited edition sneakers,448,Leather Upper and Rubber Sole,90,F,sneakers,Black,"Alicia Keys logo embellishment on outer. Die-cut EVA midsole for lightweight cushioning. Double strap closure for excellent fit and support. Pieced, perforated leather upper. Wedge style, non-marking rubber sole"
104,alicia studded bootie w/buckle detail,691,Man-made materials,40.99,F,boots,Black,1 inch heel. Adjustable straps with stud and buckle detail at top. Rubber outsole. Studded detail at toe box. Synthetic upper. Zipper enclosure
105,aliza ankle sneaker,691,Man-Made Materials,38.99,F,sneakers,Black,Additional zipper-fly closure on side panel. Canvas upper. Durable rubber toe and sole for optimal protection and traction. Signature self-strap closure
106,allerton hightop shoe,605,Canvas upper and rubber sole,45.99,M,sneakers,Grey,Canvas exterior. Cotton drill lining. Cushioned insole. Designer emblem on side. Durable rubber outsole. Logo on heel. Self tie lace closure
107,allerton hightop sneaker,605,Canvas upper and rubber sole,39.99,M,sneakers,"Charcoal,Black",Canvas exterior. Cotton drill lining. Cushioned insole. Designer emblem on side. Durable rubber outsole. Logo on heel. Self tie lace closure
108,ally sneakers,521,All Man Made Materials,20.99,F,sneakers,Black,Flat EVA sole. Logo jacquard panels with patent trim. Low top design. Regular width. Self tie lace closure
110,aloma bootie,691,Man-made materials,23.99,F,boots,Black,2 inch platform. 6 inch heel. Lace up enclosure. Lightly padded footbed. Round toe. Side zipper. Synthetic leather upper
114,amanda fringe sandals,691,Man-Made Materials,19.99,F,sandals,Black,1 inch wedge heel. Adjustable ankle closure. Faux leather upper with fringe and stud embellishments. Round toe. Rubber sole
116,amazing slide,568,Man Made Material,20,M,sandals,Black,Contrast embroidered logo on foot. Slip-on design
121,ana lisa sandal,444,Man-Made Materials,40.99,F,sandals,Black,Adjustable ankle strap. Faux leather construction with gold detail. Flat sole. Round toe. Thong style
109,aloha canvas,691,"Textile Upper, Textile Insole, Rubber Sole",19.99,F,sneakers,Orange,Canvas upper with all-over floral pattern. Low profile. Padded insole. Round toe. Rubber sole. Slip on style with elastic at tongue for support
